"Coincidência reeleição" "dm1FTJTl0u" "-23.4979860965" "-46.8609484045" "S" "2015-08-06T17:07:28.512Z" "pmdb" "Daniel Vilela" "GO" 144523 "S" 15 73.3333333333333
"Coincidência reeleição" "dm1FTJTl0u" "-23.4979860965" "-46.8609484045" "S" "2015-08-06T17:07:28.512Z" "pros" "Domingos Neto" "CE" 143632 "S" 15 73.3333333333333
"Coincidência reeleição" "dm1FTJTl0u" "-23.4979860965" "-46.8609484045" "S" "2015-08-06T17:07:28.512Z" "pros" "Dr. Jorge Silva" "ES" 160643 "S" 15 73.3333333333333
"Coincidência reeleição" "dm1FTJTl0u" "-23.4979860965" "-46.8609484045" "S" "2015-08-06T17:07:28.512Z" "pmdb" "Elcione Barbalho" "PA" 74075 "S" 15 73.3333333333333
"Coincidência reeleição" "dm1FTJTl0u" "-23.4979860965" "-46.8609484045" "S" "2015-08-06T17:07:28.512Z" "psd" "José Nunes" "BA" 160619 "S" 15 73.3333333333333
"Coincidência reeleição" "dm1FTJTl0u" "-23.4979860965" "-46.8609484045" "S" "2015-08-06T17:07:28.512Z" "dem" "Misael Varella" "MG" 178895 "S" 15 73.3333333333333
"Coincidência reeleição" "dm1FTJTl0u" "-23.4979860965" "-46.8609484045" "S" "2015-08-06T17:07:28.512Z" "pmdb" "Rodrigo Pacheco" "MG" 178897 "S" 15 73.3333333333333
"Coincidência reeleição" "dm1FTJTl0u" "-23.4979860965" "-46.8609484045" "S" "2015-08-06T17:07:28.512Z" "pmdb" "Roney Nemer" "DF" 178870 "S" 15 73.3333333333333
"Coincidência reeleição" "dm1FTJTl0u" "-23.4979860965" "-46.8609484045" "S" "2015-08-06T17:07:28.512Z" "psd" "Sérgio Brito" "BA" 73808 "S" 15 73.3333333333333
"Cota para mulheres legislativo" "dm1FTJTl0u" "-23.4979860965" "-46.8609484045" "N" "2015-08-06T17:07:28.512Z" "pmdb" "Daniel Vilela" "GO" 144523 "N" 15 73.3333333333333
"Cota para mulheres legislativo" "dm1FTJTl0u" "-23.4979860965" "-46.8609484045" "N" "2015-08-06T17:07:28.512Z" "pros" "Dr. Jorge Silva" "ES" 160643 "N" 15 73.3333333333333
"Cota para mulheres legislativo" "dm1FTJTl0u" "-23.4979860965" "-46.8609484045" "N" "2015-08-06T17:07:28.512Z" "dem" "Misael Varella" "MG" 178895 "N" 15 73.3333333333333
"Cota para mulheres legislativo" "dm1FTJTl0u" "-23.4979860965" "-46.8609484045" "N" "2015-08-06T17:07:28.512Z" "pmdb" "Rodrigo Pacheco" "MG" 178897 "N" 15 73.3333333333333
"Cota para mulheres legislativo" "dm1FTJTl0u" "-23.4979860965" "-46.8609484045" "N" "2015-08-06T17:07:28.512Z" "psd" "Sérgio Brito" "BA" 73808 "N" 15 73.3333333333333
"Distritao" "dm1FTJTl0u" "-23.4979860965" "-46.8609484045" "S" "2015-08-06T17:07:28.512Z" "pmdb" "Daniel Vilela" "GO" 144523 "S" 15 73.3333333333333
"Distritao" "dm1FTJTl0u" "-23.4979860965" "-46.8609484045" "S" "2015-08-06T17:07:28.512Z" "pros" "Domingos Neto" "CE" 143632 "S" 15 73.3333333333333
"Distritao" "dm1FTJTl0u" "-23.4979860965" "-46.8609484045" "S" "2015-08-06T17:07:28.512Z" "pmdb" "Elcione Barbalho" "PA" 74075 "S" 15 73.3333333333333
"Distritao" "dm1FTJTl0u" "-23.4979860965" "-46.8609484045" "S" "2015-08-06T17:07:28.512Z" "psd" "José Nunes" "BA" 160619 "S" 15 73.3333333333333
"Distritao" "dm1FTJTl0u" "-23.4979860965" "-46.8609484045" "S" "2015-08-06T17:07:28.512Z" "dem" "Misael Varella" "MG" 178895 "S" 15 73.3333333333333
"Distritao" "dm1FTJTl0u" "-23.4979860965" "-46.8609484045" "S" "2015-08-06T17:07:28.512Z" "pmdb" "Rodrigo Pacheco" "MG" 178897 "S" 15 73.3333333333333
"Distritao" "dm1FTJTl0u" "-23.4979860965" "-46.8609484045" "S" "2015-08-06T17:07:28.512Z" "pmdb" "Roney Nemer" "DF" 178870 "S" 15 73.3333333333333
"Distritao" "dm1FTJTl0u" "-23.4979860965" "-46.8609484045" "S" "2015-08-06T17:07:28.512Z" "psd" "Sérgio Brito" "BA" 73808 "S" 15 73.3333333333333
"Financiamento privado para partidos" "dm1FTJTl0u" "-23.4979860965" "-46.8609484045" "N" "2015-08-06T17:07:28.512Z" "pros" "Dr. Jorge Silva" "ES" 160643 "N" 15 73.3333333333333
"Financiamento privado para partidos" "dm1FTJTl0u" "-23.4979860965" "-46.8609484045" "N" "2015-08-06T17:07:28.512Z" "pmdb" "Elcione Barbalho" "PA" 74075 "N" 15 73.3333333333333
"Financiamento privado para partidos" "dm1FTJTl0u" "-23.4979860965" "-46.8609484045" "N" "2015-08-06T17:07:28.512Z" "psd" "José Nunes" "BA" 160619 "N" 15 73.3333333333333
"Financiamento privado para partidos e candidatos" "dm1FTJTl0u" "-23.4979860965" "-46.8609484045" "N" "2015-08-06T17:07:28.512Z" "pmdb" "Daniel Vilela" "GO" 144523 "N" 15 73.3333333333333
"Financiamento privado para partidos e candidatos" "dm1FTJTl0u" "-23.4979860965" "-46.8609484045" "N" "2015-08-06T17:07:28.512Z" "pros" "Domingos Neto" "CE" 143632 "N" 15 73.3333333333333
"Financiamento privado para partidos e candidatos" "dm1FTJTl0u" "-23.4979860965" "-46.8609484045" "N" "2015-08-06T17:07:28.512Z" "pros" "Dr. Jorge Silva" "ES" 160643 "N" 15 73.3333333333333
"Financiamento privado para partidos e candidatos" "dm1FTJTl0u" "-23.4979860965" "-46.8609484045" "N" "2015-08-06T17:07:28.512Z" "pmdb" "Elcione Barbalho" "PA" 74075 "N" 15 73.3333333333333
"Financiamento privado para partidos e candidatos" "dm1FTJTl0u" "-23.4979860965" "-46.8609484045" "N" "2015-08-06T17:07:28.512Z" "psd" "José Nunes" "BA" 160619 "N" 15 73.3333333333333
"Financiamento privado para partidos e candidatos" "dm1FTJTl0u" "-23.4979860965" "-46.8609484045" "N" "2015-08-06T17:07:28.512Z" "dem" "Misael Varella" "MG" 178895 "N" 15 73.3333333333333
"Financiamento privado para partidos e candidatos" "dm1FTJTl0u" "-23.4979860965" "-46.8609484045" "N" "2015-08-06T17:07:28.512Z" "pmdb" "Rodrigo Pacheco" "MG" 178897 "N" 15 73.3333333333333
"Financiamento privado para partidos e candidatos" "dm1FTJTl0u" "-23.4979860965" "-46.8609484045" "N" "2015-08-06T17:07:28.512Z" "pmdb" "Roney Nemer" "DF" 178870 "N" 15 73.3333333333333
"Financiamento privado para partidos e candidatos" "dm1FTJTl0u" "-23.4979860965" "-46.8609484045" "N" "2015-08-06T17:07:28.512Z" "psd" "Sérgio Brito" "BA" 73808 "N" 15 73.3333333333333
