"Coincidência reeleição" "mSt2BjYMha" "-23.4979860965" "-46.8609484045" "S" "2015-08-06T17:07:59.478Z" "pmdb" "Daniel Vilela" "GO" 144523 "S" 15 73.3333333333333
"Coincidência reeleição" "mSt2BjYMha" "-23.4979860965" "-46.8609484045" "S" "2015-08-06T17:07:59.478Z" "pros" "Domingos Neto" "CE" 143632 "S" 15 73.3333333333333
"Coincidência reeleição" "mSt2BjYMha" "-23.4979860965" "-46.8609484045" "S" "2015-08-06T17:07:59.478Z" "pros" "Dr. Jorge Silva" "ES" 160643 "S" 15 73.3333333333333
"Coincidência reeleição" "mSt2BjYMha" "-23.4979860965" "-46.8609484045" "S" "2015-08-06T17:07:59.478Z" "pmdb" "Elcione Barbalho" "PA" 74075 "S" 15 73.3333333333333
"Coincidência reeleição" "mSt2BjYMha" "-23.4979860965" "-46.8609484045" "S" "2015-08-06T17:07:59.478Z" "psd" "José Nunes" "BA" 160619 "S" 15 73.3333333333333
"Coincidência reeleição" "mSt2BjYMha" "-23.4979860965" "-46.8609484045" "S" "2015-08-06T17:07:59.478Z" "dem" "Misael Varella" "MG" 178895 "S" 15 73.3333333333333
"Coincidência reeleição" "mSt2BjYMha" "-23.4979860965" "-46.8609484045" "S" "2015-08-06T17:07:59.478Z" "pmdb" "Rodrigo Pacheco" "MG" 178897 "S" 15 73.3333333333333
"Coincidência reeleição" "mSt2BjYMha" "-23.4979860965" "-46.8609484045" "S" "2015-08-06T17:07:59.478Z" "pmdb" "Roney Nemer" "DF" 178870 "S" 15 73.3333333333333
"Coincidência reeleição" "mSt2BjYMha" "-23.4979860965" "-46.8609484045" "S" "2015-08-06T17:07:59.478Z" "psd" "Sérgio Brito" "BA" 73808 "S" 15 73.3333333333333
"Cota para mulheres legislativo" "mSt2BjYMha" "-23.4979860965" "-46.8609484045" "N" "2015-08-06T17:07:59.478Z" "pmdb" "Daniel Vilela" "GO" 144523 "N" 15 73.3333333333333
"Cota para mulheres legislativo" "mSt2BjYMha" "-23.4979860965" "-46.8609484045" "N" "2015-08-06T17:07:59.478Z" "pros" "Dr. Jorge Silva" "ES" 160643 "N" 15 73.3333333333333
"Cota para mulheres legislativo" "mSt2BjYMha" "-23.4979860965" "-46.8609484045" "N" "2015-08-06T17:07:59.478Z" "dem" "Misael Varella" "MG" 178895 "N" 15 73.3333333333333
"Cota para mulheres legislativo" "mSt2BjYMha" "-23.4979860965" "-46.8609484045" "N" "2015-08-06T17:07:59.478Z" "pmdb" "Rodrigo Pacheco" "MG" 178897 "N" 15 73.3333333333333
"Cota para mulheres legislativo" "mSt2BjYMha" "-23.4979860965" "-46.8609484045" "N" "2015-08-06T17:07:59.478Z" "psd" "Sérgio Brito" "BA" 73808 "N" 15 73.3333333333333
"Distritao" "mSt2BjYMha" "-23.4979860965" "-46.8609484045" "S" "2015-08-06T17:07:59.478Z" "pmdb" "Daniel Vilela" "GO" 144523 "S" 15 73.3333333333333
"Distritao" "mSt2BjYMha" "-23.4979860965" "-46.8609484045" "S" "2015-08-06T17:07:59.478Z" "pros" "Domingos Neto" "CE" 143632 "S" 15 73.3333333333333
"Distritao" "mSt2BjYMha" "-23.4979860965" "-46.8609484045" "S" "2015-08-06T17:07:59.478Z" "pmdb" "Elcione Barbalho" "PA" 74075 "S" 15 73.3333333333333
"Distritao" "mSt2BjYMha" "-23.4979860965" "-46.8609484045" "S" "2015-08-06T17:07:59.478Z" "psd" "José Nunes" "BA" 160619 "S" 15 73.3333333333333
"Distritao" "mSt2BjYMha" "-23.4979860965" "-46.8609484045" "S" "2015-08-06T17:07:59.478Z" "dem" "Misael Varella" "MG" 178895 "S" 15 73.3333333333333
"Distritao" "mSt2BjYMha" "-23.4979860965" "-46.8609484045" "S" "2015-08-06T17:07:59.478Z" "pmdb" "Rodrigo Pacheco" "MG" 178897 "S" 15 73.3333333333333
"Distritao" "mSt2BjYMha" "-23.4979860965" "-46.8609484045" "S" "2015-08-06T17:07:59.478Z" "pmdb" "Roney Nemer" "DF" 178870 "S" 15 73.3333333333333
"Distritao" "mSt2BjYMha" "-23.4979860965" "-46.8609484045" "S" "2015-08-06T17:07:59.478Z" "psd" "Sérgio Brito" "BA" 73808 "S" 15 73.3333333333333
"Financiamento privado para partidos" "mSt2BjYMha" "-23.4979860965" "-46.8609484045" "N" "2015-08-06T17:07:59.478Z" "pros" "Dr. Jorge Silva" "ES" 160643 "N" 15 73.3333333333333
"Financiamento privado para partidos" "mSt2BjYMha" "-23.4979860965" "-46.8609484045" "N" "2015-08-06T17:07:59.478Z" "pmdb" "Elcione Barbalho" "PA" 74075 "N" 15 73.3333333333333
"Financiamento privado para partidos" "mSt2BjYMha" "-23.4979860965" "-46.8609484045" "N" "2015-08-06T17:07:59.478Z" "psd" "José Nunes" "BA" 160619 "N" 15 73.3333333333333
"Financiamento privado para partidos e candidatos" "mSt2BjYMha" "-23.4979860965" "-46.8609484045" "N" "2015-08-06T17:07:59.478Z" "pmdb" "Daniel Vilela" "GO" 144523 "N" 15 73.3333333333333
"Financiamento privado para partidos e candidatos" "mSt2BjYMha" "-23.4979860965" "-46.8609484045" "N" "2015-08-06T17:07:59.478Z" "pros" "Domingos Neto" "CE" 143632 "N" 15 73.3333333333333
"Financiamento privado para partidos e candidatos" "mSt2BjYMha" "-23.4979860965" "-46.8609484045" "N" "2015-08-06T17:07:59.478Z" "pros" "Dr. Jorge Silva" "ES" 160643 "N" 15 73.3333333333333
"Financiamento privado para partidos e candidatos" "mSt2BjYMha" "-23.4979860965" "-46.8609484045" "N" "2015-08-06T17:07:59.478Z" "pmdb" "Elcione Barbalho" "PA" 74075 "N" 15 73.3333333333333
"Financiamento privado para partidos e candidatos" "mSt2BjYMha" "-23.4979860965" "-46.8609484045" "N" "2015-08-06T17:07:59.478Z" "psd" "José Nunes" "BA" 160619 "N" 15 73.3333333333333
